ID,0.25,0.5,1.0,2.0,4.0,6.0
A71978,True,True,True,True,True,True
A72030,True,True,True,True,True,True
A72037,True,True,True,True,True,False
A72063,True,True,True,True,True,True
A72077,True,True,True,True,True,True
A72086,True,True,True,True,True,False
A72098,True,True,True,True,True,True
A72103,True,True,True,True,True,True
A72120,True,True,True,True,True,True
A72149,True,True,True,True,True,True
A72159,True,True,True,True,True,True
A72194,True,True,True,True,True,True
A72308,True,True,True,True,True,True
A72318,True,True,True,True,True,True
A72335,True,True,True,True,True,True
A72502,True,True,True,True,True,True
A72503,True,True,True,True,True,True
A72531,True,True,True,True,True,True
A72590,True,True,True,True,True,True
A72640,True,True,True,True,True,True
A72649,True,True,True,True,True,True
A72655,True,True,True,True,True,True
A72676,True,True,True,True,True,True
A72823,True,True,True,True,True,True
A72830,True,True,True,True,True,True
A72918,True,True,True,True,True,True
A72922,True,True,True,True,True,True
A72965,True,True,True,True,True,True
A73023,True,True,True,True,True,True
A73059,True,True,True,True,True,True
A73078,True,True,True,True,True,True
A73099,True,True,True,True,True,True
A73174,True,True,True,True,True,True
A73184,True,True,True,True,True,True
A73193,True,True,True,True,True,True
A73254,True,True,True,True,True,True
A73327,True,True,True,True,True,True
A73335,True,True,True,True,True,True
A73403,True,True,True,True,True,True
A73437,True,True,True,True,True,True
A73452,True,True,True,True,True,True
A73489,True,True,True,True,True,True
A73498,True,True,True,True,True,True
A73504,True,True,True,True,True,True
A73555,True,True,True,True,True,False
A73587,True,True,True,True,True,True
A73626,True,True,True,True,True,True
A73639,True,True,True,True,True,True
A73673,True,True,True,True,True,True
A73679,True,True,True,True,True,True
A73734,True,True,True,True,True,True
A73738,True,True,True,True,True,True
A73756,True,True,True,True,True,True
A73764,True,True,True,True,True,True
A73769,True,True,True,True,True,True
A73818,True,True,True,True,True,True
A73846,True,True,True,True,True,True
A73865,True,True,True,True,True,True
A73943,True,True,True,True,True,True
A74022,True,True,True,True,True,True
A74048,True,True,True,True,True,True
A74099,True,True,True,True,True,True
A74128,True,True,True,True,True,True
A74131,True,True,True,True,True,True
A74146,True,True,True,True,True,True
A74207,True,True,True,True,True,True
A74211,True,True,True,True,True,True
A74220,True,True,True,True,True,False
A76000,True,True,True,True,True,True
A76082,True,True,True,True,True,True
A76086,True,True,True,True,True,True
A76117,True,True,True,True,True,True
A76118,True,True,True,True,True,True
A76140,True,True,True,True,True,True
A76273,True,True,True,True,True,True
A76278,True,True,True,True,True,True
A76285,True,True,True,True,True,True
A76333,True,True,True,True,True,True
A77022,True,True,True,True,True,True
A77227,True,True,True,True,True,True
A77521,True,True,True,True,True,True
A77551,True,True,True,True,True,True
A77585,True,True,True,True,True,True
A77600,True,True,True,True,True,True
A77652,True,True,True,True,True,True
A77719,True,True,True,True,True,True
A77744,True,True,True,True,True,True
A77821,True,True,True,True,True,True
A77854,True,True,True,True,True,True
A77883,True,True,True,True,True,True
A77912,True,True,True,True,True,True
A77947,True,True,True,True,True,True
A78002,True,True,True,True,True,False
A78024,True,True,True,True,True,True
A78072,True,True,True,True,True,True
A78111,True,True,True,True,True,True
A78128,True,True,True,True,True,True
A78222,True,True,True,True,True,True
A78301,True,True,True,True,True,True
A78306,True,True,True,True,True,False
A78488,True,True,True,True,True,True
A78522,True,True,True,True,True,True
A78639,True,True,True,True,True,True
A80047,True,True,True,True,True,True
A80048,True,True,True,True,True,True
A80094,True,True,True,True,True,True
A80123,True,True,True,True,True,True
A80131,True,True,True,True,True,True
A80144,True,True,True,True,True,True
A80194,True,True,True,True,True,True
A80196,True,True,True,True,True,True
A80201,True,True,True,True,True,True
A80204,True,True,True,True,True,True
A80212,True,True,True,True,True,True
A80215,True,True,True,True,True,True
A80221,True,True,True,True,True,True
A80227,True,True,True,True,True,True
A80252,True,True,True,True,True,True
A80254,True,True,True,True,True,True
A80264,True,True,True,True,True,True
A80282,True,True,True,True,True,True
A80358,True,True,True,True,True,True
